Company,Rating,Reviews,Industry,Location,Highly_Rated,Critically_Rated,Page
Equitas Small Finance Bank,,(8.9k),Banking,Chennai +486 other locations,"Job Security, Company Culture, Work Life Balance",,3
Wells Fargo,,(8.8k),Financial Services,Bengaluru +27 other locations,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",3
EXL Service,,(8.7k),Analytics & KPO,Noida +61 other locations,Job Security,"Promotions, Salary, Skill Development",3
Cipla,,(8.7k),Pharma,Mumbai +296 other locations,"Salary, Work Life Balance, Skill Development",,3
Ericsson,,(8.5k),Telecom,Noida +161 other locations,"Work Life Balance, Company Culture","Promotions, Salary",4
Samsung,,(8.4k),Consumer Electronics & Appliances,Noida +582 other locations,Salary,Promotions,4
Dr. Reddy's,,(8.3k),Pharma,Hyderabad +215 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions,4
Optum Global Solutions,,(8.1k),IT Services & Consulting,Hyderabad +69 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,4
JSW Steel,,(8k),Iron & Steel,Ballari +199 other locations,"Job Security, Skill Development",Promotions,4
JPMorgan Chase & Co.,,(7.9k),Financial Services,Bengaluru +56 other locations,Job Security,Promotions,4
Delhivery,,(7.9k),Logistics,Gurugram +765 other locations,Promotions,,4
Coforge,,(7.9k),IT Services & Consulting,Hyderabad +106 other locations,"Promotions, Work Satisfaction, Skill Development",,4
ICICI Prudential Life Insurance,,(7.9k),Insurance,Mumbai +512 other locations,"Job Security, Salary, Skill Development",,4
Hexaware Technologies,,(7.8k),IT Services & Consulting,Chennai +71 other locations,"Promotions, Salary, Work Satisfaction",,4
Sun Pharmaceutical Industries,,(7.7k),Pharma,Vadodara +264 other locations,"Salary, Job Security, Skill Development",,4
Jana Small Finance Bank,,(7.7k),Banking,Bengaluru +426 other locations,Salary,Promotions,4
Ujjivan Small Finance Bank,,(7.7k),Banking,Bengaluru +544 other locations,"Company Culture, Work Life Balance, Skill Development",,4
HGS,,(7.6k),Emerging Technologies,Bengaluru +122 other locations,"Promotions, Salary",,4
Zydus Lifesciences,,(7.6k),Pharma,Ahmedabad +183 other locations,"Salary, Work Life Balance, Skill Development",,4
Ekart Logistics,,(7.6k),Logistics,Bengaluru +740 other locations,Skill Development,Promotions,4
Amazon Development Centre India,,(7.5k),Internet,Hyderabad +147 other locations,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development",4
Lupin,,(7.4k),Pharma,Pune +204 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions,4
KPMG India,,(7.4k),Management Consulting,Bengaluru +112 other locations,"Promotions, Work Life Balance, Work Satisfaction",,4
Axis Max Life Insurance,,(7.3k),Insurance,New Delhi +511 other locations,"Skill Development, Company Culture, Work Life Balance",,4
L&T Construction,,(7.3k),Engineering & Construction,Chennai +436 other locations,"Job Security, Skill Development, Salary","Work Life Balance, Promotions",5
ITC,,(7.2k),FMCG,Bengaluru +379 other locations,"Job Security, Skill Development",Promotions,5
Hindustan Unilever,,(7.2k),FMCG,Mumbai +547 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions,5
Megha Engineering & Infrastructures,,(7k),Engineering & Construction,Hyderabad +409 other locations,Work Life Balance,Promotions,5
Tata Projects,,(6.9k),Engineering & Construction,Mumbai +288 other locations,"Salary, Company Culture, Work Life Balance",,5
Cholamandalam Investment & Finance,,(6.7k),Financial Services,Chennai +871 other locations,Salary,,5
Bajaj Life Insurance,,(6.7k),Insurance,Pune +621 other locations,Salary,Promotions,5
L&T Technology Services,,(6.7k),IT Services & Consulting,Bengaluru +95 other locations,"Promotions, Salary, Work Satisfaction",,5
FIS,,(6.6k),FinTech,Pune +60 other locations,Work Life Balance,"Promotions, Job Security, Skill Development",5
Oracle,,(6.6k),Software Product,Bengaluru +56 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction",5
Omega Healthcare,,(6.5k),BPO,Chennai +70 other locations,"Promotions, Salary",,5
JLL,,(6.5k),Real Estate,Gurugram +87 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,5
Muthoot Finance,,(6.4k),NBFC,Bengaluru +798 other locations,Promotions,,5
IIFL Finance,,(6.4k),NBFC,Mumbai +814 other locations,"Work Life Balance, Company Culture, Skill Development",,5
eClerx,,(6.4k),IT Services & Consulting,Pune +32 other locations,"Promotions, Salary, Work Satisfaction",,5
Indian Army,,(6.3k),Defence & Aerospace,New Delhi +364 other locations,"Job Security, Company Culture, Work Life Balance",,5
Piramal Finance,,(6.2k),NBFC,Mumbai +435 other locations,"Company Culture, Work Life Balance, Skill Development",,5
DMart,,(6.2k),Retail,Mumbai +255 other locations,"Job Security, Company Culture",Promotions,5
PolicyBazaar,,(6.2k),Internet,Gurugram +160 other locations,Salary,Work Life Balance,5
Virtusa Consulting Services,,(6.2k),IT Services & Consulting,Hyderabad +55 other locations,"Promotions, Work Satisfaction, Job Security",,5
Indiamart Intermesh,,(6.1k),Internet,Noida +169 other locations,"Work Satisfaction, Promotions, Company Culture",,6
HSBC Group,,(6.1k),Financial Services,Bengaluru +63 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",6
HCL Group,,(6.1k),IT Services & Consulting,Chennai +97 other locations,Job Security,"Promotions, Salary, Company Culture",6
SMFG India Credit,,(6k),NBFC,Mumbai +608 other locations,Salary,Promotions,6
Access Healthcare,,(6k),BPO,Chennai +62 other locations,Job Security,Promotions,6
BigBasket,,(5.9k),Internet,Bengaluru +145 other locations,Job Security,Promotions,6
Siemens,,(5.9k),Industrial Automation,Bengaluru +156 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,6
Manappuram Finance,,(5.9k),NBFC,Bengaluru +662 other locations,"Work Life Balance, Promotions, Skill Development",,6
ICICI Lombard General Insurance Company,,(5.9k),Insurance,Mumbai +321 other locations,"Promotions, Work Satisfaction, Company Culture",,6
GlobalLogic,,(5.8k),IT Services & Consulting,Hyderabad +62 other locations,"Promotions, Salary, Work Satisfaction",,6
Firstsource Solutions,,(5.8k),BPO,Bengaluru +73 other locations,"Promotions, Salary, Work Satisfaction",,6
Aurobindo Pharma,,(5.8k),Pharma,Hyderabad +116 other locations,"Job Security, Salary, Work Life Balance",Promotions,6
Tata Capital,,(5.8k),NBFC,Mumbai +453 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,6
Shapoorji Pallonji Group,,(5.8k),Engineering & Construction,Mumbai +190 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,6
UST,,(5.8k),IT Services & Consulting,Bengaluru +52 other locations,Work Life Balance,"Promotions, Job Security, Salary",6
Standard Chartered,,(5.7k),Banking,Chennai +69 other locations,"Promotions, Work Satisfaction, Salary",,6
Udaan,,(5.7k),Internet,Bengaluru +366 other locations,Salary,"Job Security, Promotions",6
Mahindra Finance,,(5.7k),NBFC,Mumbai +740 other locations,Promotions,,6
Apollo Hospitals,,(5.7k),Healthcare,Chennai +226 other locations,"Job Security, Skill Development, Company Culture",Promotions,6
Swiggy,,(5.7k),Internet,Bengaluru +238 other locations,"Job Security, Promotions, Work Life Balance",,6
Swiggy,,(5.7k),Internet,Bengaluru +238 other locations,"Job Security, Promotions, Work Life Balance",,7
Citicorp,,(5.6k),Financial Services,Pune +68 other locations,Salary,"Promotions, Work Satisfaction, Skill Development",7
Ashok Leyland,,(5.6k),Automobile,Chennai +265 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions,7
Hero MotoCorp,,(5.5k),Automobile,Gurugram +373 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,7
CGI Inc,,(5.5k),IT Services & Consulting,Bengaluru +43 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",7
SBI Cards & Payment Services,,(5.4k),Financial Services,Gurugram +448 other locations,"Promotions, Work Satisfaction, Company Culture",,7
Cyient,,(5.4k),IT Services & Consulting,Hyderabad +49 other locations,"Promotions, Salary, Skill Development",,7
Kalpataru Projects International,,(5.3k),Engineering & Construction,Mumbai +328 other locations,"Job Security, Skill Development, Salary",,7
NTT DATA,,(5.3k),IT Services & Consulting,Bengaluru +81 other locations,Work Life Balance,Promotions,7
BNY,,(5.3k),Financial Services,Pune +28 other locations,"Promotions, Job Security, Work Satisfaction",,7
IQVIA,,(5.3k),Clinical Research,Bengaluru +67 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction",7
Nagarjuna Construction Company,,(5.3k),Engineering & Construction,Hyderabad +300 other locations,"Job Security, Work Life Balance, Skill Development",Promotions,7
Schneider Electric,,(5.2k),Industrial Automation,Bengaluru +121 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,7
SBI Life Insurance Company,,(5.2k),Insurance,Mumbai +658 other locations,Job Security,"Promotions, Work Life Balance, Work Satisfaction",7
JustDial,,(5.2k),Internet,Noida +237 other locations,"Promotions, Work Satisfaction, Job Security",,7
CBRE,,(5.2k),Real Estate,Hyderabad +92 other locations,"Company Culture, Work Life Balance, Job Security",,7
TVS Motor,,(5.1k),Automobile,Hosur +355 other locations,"Job Security, Skill Development, Salary",Promotions,7
Persistent Systems,,(5.1k),IT Services & Consulting,Pune +42 other locations,"Promotions, Job Security, Work Satisfaction",,7
State Bank of India,,(5k),Banking,Mumbai +631 other locations,"Job Security, Skill Development, Salary",,7
KEC International,,(5k),Engineering & Construction,Mumbai +318 other locations,"Job Security, Salary, Company Culture",Promotions,7
